company_id,type,rule_id,text,confidence_pct
ABB,con,CON_FALLBACK,Moderate revenue growth warrants continued monitoring of future business momentum,65.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.96
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.54
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.58
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.96
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,88.28
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.14
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.65
ADANIENT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,95.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,75.8
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.37
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.71
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,con,CON_FALLBACK,Even financially strong companies remain exposed to execution and market-cycle risks,61.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.68
ADANIPOWER,con,CON_FALLBACK,Even financially strong companies remain exposed to execution and market-cycle risks,61.0
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.68
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,76.57
ADANIPOWER,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.66
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.53
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71.19
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.45
